system   D            wsystem.c:583  maybe_parent_dir                 [   0.00241] Also searching C:\Users\Administrator\Documents\GitHub\PROJECT-HY454-2012\bubble bobble\src\Bubble Bobble\
display  D   display_settings.c:377  _al_score_display_settings       [   0.19635] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19637] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19639] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19640] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19642] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19644] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19646] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19647] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19649] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19651] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19653] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19655] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19657] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19658] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19660] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19662] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19664] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19665] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
